"year","month","day","sex","age"
1985,9,11,"m",0
1986,6,17,"f",0
1988,1,6,"m",1
1990,11,17,"m",0
1990,8,5,"m",0
1990,NA,NA,"f",0
1991,NA,NA,"f",0
1991,7,24,"f",5
1991,NA,NA,"m",0
1990,NA,NA,"m",0
1990,10,22,"m",0
1991,6,10,"m",0
1991,12,7,"m",0
1992,4,25,"f",0
1992,5,12,"m",0
1992,5,20,"m",0
1993,5,21,"m",0
1994,10,22,"f",0
1994,NA,NA,NA,0
1996,11,3,"m",28
2002,4,NA,"f",13
2007,4,12,"m",NA
2007,8,31,"m",0
2007,9,11,"m",0
2007,10,12,"f",NA
2007,10,21,"f",NA
2008,6,30,NA,NA
2009,9,5,"m",0
2010,5,NA,"m",6
2010,9,NA,"f",0
2011,5,29,"f",5
2011,5,NA,"f",5
2011,5,NA,"f",6
2011,5,NA,"f",2
2011,11,NA,"m",2
2012,9,16,"f",NA
2012,9,28,"m",0
2013,4,22,"m",3
2013,4,20,"m",1
2013,10,19,"f",0
2013,11,2,"m",0
2013,11,17,"f",6
2014,5,14,"m",0
2014,11,15,"m",0
2015,4,20,"m",NA
2015,4,27,"f",0
2015,4,29,"m",0
2015,4,29,"m",0
2015,4,26,"m",0
2015,4,27,"f",0
2015,5,6,"m",0
2015,5,8,"f",0
2015,5,30,"f",0
2015,5,2,"f",0
2015,5,9,"f",0
2015,5,NA,"f",0
2015,5,18,"m",0
2015,5,10,"f",0
2015,5,25,"m",0
2015,5,7,"m",0
2015,5,5,"m",0
2015,5,18,"m",0
2015,6,8,"m",0
2015,6,8,NA,0
2015,6,18,"m",0
2015,7,8,"m",0
2015,5,8,NA,0
2015,5,8,"f",0
2015,5,8,NA,0
2015,5,8,"m",0
2015,9,NA,"m",0
2017,5,12,"f",0
2017,5,31,"f",0
2017,6,3,"f",0
2017,6,17,"m",0
2017,7,12,"m",0
2018,5,22,"f",0
2021,5,9,"f",0
2021,5,8,"m",0
2021,12,30,"m",0
2022,10,30,"m",0
2022,10,30,"m",NA
2022,10,30,"m",0
2022,12,22,"m",0
2022,12,22,"m",0
