"year","month","date","sex","age","body_length","spring"
2003,8,"2003-08-22","m",0,98,FALSE
2008,1,"2008-01-01","m",3,133,FALSE
2008,1,"2008-01-01","m",7,132.5,FALSE
2008,5,"2008-05-28","m",0,100,TRUE
2008,6,"2008-06-03","f",1,105,TRUE
2008,5,"2008-05-23","m",12,126.5,TRUE
2008,5,"2008-05-16","f",1,111,TRUE
2008,6,"2008-06-01","f",4,117,TRUE
2008,5,"2008-05-22","f",12,121.5,TRUE
2008,5,"2008-05-23","m",7,119,TRUE
2008,6,"2008-06-05","f",1,110,TRUE
2008,5,"2008-05-28","m",0,88.5,TRUE
2008,5,"2008-05-30","m",20,139,TRUE
2008,6,"2008-06-05","m",7,132.5,TRUE
2008,5,"2008-05-28","f",13,126.5,TRUE
2008,6,"2008-06-07","f",1,100,TRUE
2008,6,"2008-06-03","m",1,96,TRUE
2008,5,"2008-05-29","f",5,131,TRUE
2008,5,"2008-05-29","f",7,131,TRUE
2008,5,"2008-05-28","m",3,128,TRUE
2008,5,"2008-05-28","f",2,120.5,TRUE
2008,5,"2008-05-30","m",14,147.5,TRUE
2008,5,"2008-05-28","f",6,127,TRUE
2008,5,"2008-05-22","f",1,104.5,TRUE
2008,5,"2008-05-30","m",1,104,TRUE
2008,5,"2008-05-28","m",2,108.5,TRUE
2008,5,"2008-05-28","f",3,105,TRUE
2008,6,"2008-06-07","f",1,106.5,TRUE
2008,6,"2008-06-04","f",1,108,TRUE
2008,6,"2008-06-22","m",1,108.5,TRUE
2008,6,"2008-06-16","m",3,113,TRUE
2008,10,"2008-10-01","f",0,92,FALSE
2012,11,"2012-11-05","f",7,122,FALSE
2013,11,"2013-11-07","f",11,118,FALSE
2013,11,"2013-11-07","f",12,124,FALSE
2013,4,"2013-04-22","m",11,NA,TRUE
2012,10,"2012-10-26","f",12,124,FALSE
2012,11,NA,"m",1,117,FALSE
2012,11,NA,"m",2,108.5,FALSE
2014,11,"2014-11-03","f",23,125,FALSE
2014,11,"2014-11-03","m",4,125,FALSE
2013,11,"2013-11-02","m",12,132.5,FALSE
2013,11,"2013-11-02","f",0,104,FALSE
2015,4,"2015-04-17","m",5,120,TRUE
2015,4,"2015-04-15","f",3,105,TRUE
2015,6,"2015-06-22","f",1,106.5,TRUE
2015,6,"2015-05-06","m",33,142,TRUE
2016,NA,NA,NA,0,NA,NA
2015,6,"2015-05-06","m",0,74,TRUE
2015,6,"2015-05-06","f",0,70,TRUE
2015,NA,NA,"m",24,126.5,NA
2015,8,"2015-08-13","f",6,121,FALSE
2015,6,"2015-06-22","f",8,134,TRUE
2015,10,"2015-10-03","m",1,120,FALSE
2015,6,"2015-06-22","f",2,114.5,TRUE
2015,9,"2015-09-20","f",3,121,FALSE
2015,5,"2015-05-30","m",29,133.5,TRUE
2015,12,"2015-12-09","m",17,150,FALSE
2016,9,"2016-09-08","m",26,NA,FALSE
2015,8,"2015-08-16","f",2,96,FALSE
2015,8,"2015-08-16","m",0,82,FALSE
2015,9,"2015-09-10","m",3,140,FALSE
2016,5,"2016-05-04","m",2,122,TRUE
2016,12,"2016-12-20","m",17,110,FALSE
2016,5,"2016-05-08","m",1,117,TRUE
2016,5,"2016-05-08","m",17,135,TRUE
2016,5,"2016-05-08","m",17,128,TRUE
2016,5,"2016-05-09","m",8,129,TRUE
2016,5,"2016-05-09","m",13,140,TRUE
2016,6,"2016-06-02","m",12,142,TRUE
2016,5,"2016-05-16","m",NA,137,TRUE
2016,5,"2016-05-20","f",9,116,TRUE
2016,5,"2016-05-24","f",21,122,TRUE
2016,5,NA,"m",6,120,TRUE
