year,month,day,age,sex,source,body_length,CA,placental_scar
1985,7,17,19,2,6,,,
1985,9,11,0,1,4,,,
1986,5,18,0,2,6,,,
1986,6,17,0,2,4,,,
1988,1,6,1,1,4,,,
1988,10,11,20,2,6,,,
1990,11,17,0,1,4,,,
1990,8,5,0,1,4,,,
1990,,,0,2,4,,,
1991,,,0,2,4,,,
1991,7,24,5,2,4,,,
1991,,,0,1,4,,,
1990,,,0,1,4,,,
1990,10,22,0,1,4,,,
1991,,,33,1,,,,
1991,6,10,0,1,4,,,
1991,12,7,0,1,4,,,
1992,4,25,0,2,4,,,
1992,4,30,0,2,6,,,
1992,5,12,0,1,4,,,
1992,5,20,0,1,4,,,
1992,6,20,6,1,6,,,
1993,5,21,0,1,4,,,
1993,6,20,0,2,6,,,
1994,10,22,0,2,4,,,
1994,,,0,0,4,,,
1996,11,3,28,1,4,,,
1997,12,9,0,2,6,,,
1998,10,16,30,2,6,,,
1981,,,,0,1,,,
1981,,,,2,1,,,
1981,,,19,1,1,,,
1982,,,12,1,1,,,
1982,,,12,2,1,,,
1982,,,9,2,1,,,
1982,,,18,1,1,,,
1982,,,,0,1,,,
1982,,,5,1,1,,,
1982,,,24,1,1,,,
1983,,,2,1,1,,,
1983,,,7,1,1,,,
1983,,,0,1,1,,,
1983,,,3,2,1,,,
1983,,,11,1,1,,,
1983,,,13,2,1,,,
1983,,,2,1,1,,,
1983,,,20,1,1,,,
1986,4,29,25,1,1,,,
1986,4,29,23,1,1,,,
1986,4,29,25,2,1,,,
1986,4,30,29,2,1,,,
1986,4,30,25,1,1,,,
1986,5,1,8,1,1,,,
1986,5,1,3,1,1,,,
1986,5,1,17,2,1,,,
1986,5,15,2,1,1,,,
1986,5,25,8,2,1,,,
1986,5,31,7,1,1,,,
1986,5,25,,1,1,,,
1986,5,25,,1,1,,,
1986,5,29,12,1,1,,,
1986,5,10,6,1,1,,,
1986,6,6,22,1,1,,,
1986,6,,10,2,1,,,
1986,6,2,14,2,1,,,
1986,6,5,3,2,1,,,
1986,6,1,11,1,1,,,
1986,6,1,15,1,1,,,
1986,6,5,26,1,1,,,
1986,6,,6,1,1,,,
1986,6,,6,2,1,,,
1986,,,20,2,1,,,
1987,5,,,1,1,,,
1987,5,,,2,1,,,
1987,5,,,1,1,,,
1987,5,,,1,1,,,
1987,5,,,2,1,,,
1987,5,,,2,1,,,
1987,5,,,1,1,,,
1987,5,,,1,1,,,
1987,5,,,2,1,,,
1987,5,,,1,1,,,
1987,,,6,1,1,,,
1987,,,,2,1,,,
1987,,,,2,1,,,
1987,,,,1,1,,,
1987,,,,2,1,,,
1987,,,,2,1,,,
1987,,,,2,1,,,
1987,,,,1,1,,,
1987,,,,1,1,,,
1987,,,,2,1,,,
1987,,,,0,1,,,
1987,,,10,2,1,,,
1987,,,5,2,1,,,
1987,,,,0,1,,,
1987,,,6,2,1,,,
1987,,,5,2,1,,,
1987,,,5,2,1,,,
1987,,,,2,1,,,
1987,,,16,2,1,,,
1987,,,14,1,1,,,
1987,,,,2,1,,,
1987,,,,1,1,,,
1987,,,,2,1,,,
1987,,,23,2,1,,,
1987,,,3,1,1,,,
1987,,,,1,1,,,
1987,,,18,2,1,,,
1987,,,,2,1,,,
1987,,,,1,1,,,
1987,,,10,1,1,,,
1987,,,,2,1,,,
1987,,,,2,1,,,
1987,,,14,1,1,,,
1987,,,,1,1,,,
1987,,,13,1,1,,,
1987,,,10,1,1,,,
1987,,,12,1,1,,,
1987,,,5,1,1,,,
1987,,,3,1,1,,,
1987,,,22,2,1,,,
1987,,,,0,1,,,
1987,,,,2,1,,,
1987,,,,2,1,,,
1987,,,,0,1,,,
1987,,,,0,1,,,
1987,,,,0,1,,,
1987,,,,2,1,,,
1987,,,18,2,1,,,
1987,,,,0,1,,,
1987,,,,0,1,,,
1988,5,,4,2,1,135,,
1988,5,,10,1,1,138.5,,
1988,5,,4,2,1,143,,
1988,5,,6,1,1,132,,
1988,5,,4,2,1,123,,
1988,5,,13,2,1,133,,
1988,5,,3,2,1,110,,
1988,5,,2,2,1,112.5,,
1988,,,19,1,1,131,,
1988,,,8,1,1,134,,
1988,,,25,1,1,135,,
1988,,,12,1,1,148,,
1988,,,26,2,1,,,
1988,,,8,2,1,,,
1988,,,0,2,1,,,
1988,,,,2,1,,,
1988,,,25,2,1,,,
1988,,,,2,1,,,
1988,,,,2,1,,,
1988,,,20,2,1,,,
1989,,,22,2,1,,,
1989,,,2,1,1,,,
1989,,,2,2,1,,,
1989,,,3,1,1,,,
1989,,,25,2,1,,,
1989,,,26,2,1,,,
1990,4,21,15,2,1,142,0,
1990,4,21,17,2,1,125,0,
1990,4,22,10,1,1,143,,
