ID,Age
A1959/03508,0
A1960/03505,2
A1961/02117,22
A1961/02122,0
A1961/02126,3
A1961/02938,1
A1961/02939,10
A1961/02940,3
A1961/02941,15
A1961/03480,0
A1961/03481,1
A1961/03485,1
A1961/03486,kasserad
A1961/03488,5
A1961/03492,3
A1961/03493,5
A1961/03494,1
A1961/03504,1
A1961/03506,9
A1961/03509,2
A1961/03510,4
A1961/03522,20
A1961/03523,10
A1973/00214,5
A1974/00139,9
A1976/03074,27
A1976/05007,6
A1976/05014,13
A1977/05020,TŠnder saknas
A1977/05022,11
A1977/05031,20
A1977/05078,16
A1978/05001,16
A1978/05051,11
A1978/05067,TŠnder saknas
A1979/05070,15
A1979/05100,15
A1980/05010,8
A1980/05045,8
A1980/05071,15
A1980/05116,9
A1981/05003,9
A1981/05033,11
A1981/05066,7
A1981/05080,14
A1981/05096,TŠnder saknas
A1982/05045,10
A1983/05165,11
A1983/05181,8
A1984/05115,49
A1985/05089,"OtillrŠckligt med cement, tidigare snittad"
A1985/05091,14
A1985/05131,6
A1985/05137,8
A1986/05047,18
A1986/05164,7
A1986/05199,14
A1987/05064,8
A1987/05304,8
A1988/05071,11
A1988/05108,7
A1989/05072,20
A1989/05133,10
A1997/05211 ,3
A2000/05324,1
A2001/08295,1
A2001/08296,11
A2002/05049,2
A2002/05130,1
A2004/05292,0
A2006/05390,0
A2006/05406,0
A2007/05223,48
A2007/05255,0
A2007/05297,4
A2007/05298,2
A2007/05299,9
A2007/05320,1
A2007/05395,1
A2008/05113,0
A2008/05191,3
A2008/05193,7
A2008/05197,0
A2008/05198,0
A2008/05219,0
A2008/05297,0
A2008/05298,1
A2008/05299,12
A2008/05300,1
A2008/05305,4
A2008/05312,12
A2008/05323,7
A2008/05325,1
A2008/05326,0
A2008/05327,20
A2008/05328,7
A2008/05330,13
A2008/05333,1
A2008/05334,1
A2008/05336,5
A2008/05347,7
A2008/05355,3
A2008/05376,2
A2008/05377,14
A2008/05394,0
A2008/05395,0
A2008/05403,0
A2008/05404,0
A2008/05424,6
A2008/05429,0
A2009/05003,1
A2009/05004,1
A2009/05009,2
A2009/05017,3
A2009/05023,1
A2009/05026,1
A2009/05046,1
A2009/05052,3
A2009/05053,0
A2010/05071,0
A2010/05075,0
A2010/05261,0
A2010/05393,0
A2010/05445,0
A2010/05476,0
A2010/05477,0
A2011/05284,0
A2011/05435,4
A2011/05455,8
A2011/05466,0
A2011/05538,2
A2012/05061,17
A2012/05062,3
A2012/05555,0
A2012/05635,0
A2012/05641,0
A2012/05654,0
A2012/05700,0
A2012/05718,0
A2012/05721,3
A2012/05761,0
A2012/05828,0
A2012/05911,0
A2012/05912,1
A2012/05913,0
A2013/05007,0
A2013/05008,0
A2013/05084,0
A2013/05152,4
A2013/05156,1
A2013/05157,0
A2013/05158,0
A2013/05342,14
A2013/05443,0
A2013/05446,0
A2013/05447,0
A2013/05510,7
A2013/05512,0
A2013/05565,2
A2014/05090,0
A2014/05105,23
A2014/05132,11
A2014/05144,3 
A2014/05159,12
A2014/05193,11
A2014/05212,12
A2014/05215,0
A2014/05216,0
A2014/05227,1
A2014/05228,2
A2014/05348,0
A2014/05481,0
A2014/05483,0
A2014/05505,0
A2014/05650,23
A2014/05652,4
A2014/05703,12
A2014/05720,0
A2015/05055,0
A2015/05079,0
A2015/05209,0
A2015/05224,0
A2015/05225,0
A2015/05226,0
A2015/05284,0
A2015/05285,0
A2015/05286,0
A2015/05287,0
A2015/05288,0
A2015/05289,0
A2015/05291,0
A2015/05292,0
A2015/05316,0
A2015/05317,0
A2015/05318,0
A2015/05320,1
A2015/05360,1
A2015/05379,0
A2015/05477,0
A2015/05491,5
A2015/05492,3
A2015/05527,0
A2015/05559,1
A2015/05590,1
A2015/05591,33
A2015/05605,0
