date,year,sampled,sex,body_length
5/4/19,2019,0,,
5/4/19,2019,1,m,125
5/6/19,2019,1,m,105
5/6/19,2019,0,m,85
5/6/19,2019,0,,
5/5/19,2019,1,,
5/6/19,2019,1,,
5/5/19,2019,0,,
5/6/19,2019,0,,
5/7/19,2019,0,m,82
5/7/19,2019,0,,
5/7/19,2019,0,f,92
5/4/19,2019,1,,
5/4/19,2019,1,,
5/4/19,2019,1,,
5/5/19,2019,0,,
5/5/19,2019,0,,
5/7/19,2019,1,f,104
5/13/19,2019,1,f,130
5/13/19,2019,1,m,140
5/13/19,2019,1,f,110
5/13/19,2019,0,m,97
5/13/19,2019,0,,
5/13/19,2019,0,,
5/13/19,2019,0,f,85
5/15/19,2019,0,,
5/15/19,2019,0,f,98
5/15/19,2019,0,,
5/15/19,2019,0,,
5/15/19,2019,0,,
5/15/19,2019,0,,
5/16/19,2019,0,,
5/16/19,2019,0,,
5/16/19,2019,0,,
5/15/19,2019,1,,
5/15/19,2019,1,,
5/17/19,2019,0,,
5/17/19,2019,0,,
5/17/19,2019,0,,
5/17/19,2019,0,,
5/15/19,2019,1,m,
5/16/19,2019,1,m,
5/16/19,2019,1,f,
5/16/19,2019,1,f,
5/17/19,2019,1,f,
5/17/19,2019,1,f,
5/18/19,2019,1,,
5/18/19,2019,0,,
5/18/19,2019,0,,
5/18/19,2019,0,,
5/18/19,2019,1,,
5/18/19,2019,1,,
5/18/19,2019,1,,
5/18/19,2019,1,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/21/19,2019,0,,
5/20/19,2019,0,m,110
5/20/19,2019,0,f,100
5/20/19,2019,0,,
5/20/19,2019,0,m,110
5/20/19,2019,0,,
5/20/19,2019,0,,
5/21/19,2019,0,f,110
5/21/19,2019,0,m,110
5/21/19,2019,0,f,110
5/21/19,2019,0,,
5/21/19,2019,0,,
5/22/19,2019,0,f,110
5/22/19,2019,0,m,110
5/22/19,2019,0,f,100
5/22/19,2019,0,,
5/22/19,2019,0,,
5/25/19,2019,0,m,85
5/25/19,2019,0,f,99
5/25/19,2019,0,m,99
5/25/19,2019,0,m,
5/23/19,2019,1,f,125
5/26/19,2019,1,m,110
5/26/19,2019,1,m,125
5/24/19,2019,0,,
5/24/19,2019,1,f,100
5/24/19,2019,1,f,105
5/24/19,2019,1,f,125
5/23/19,2019,0,,
5/17/19,2019,0,,
5/17/19,2019,0,,
5/24/19,2019,0,,
5/24/19,2019,1,f,122
5/17/19,2019,1,f,100
5/17/19,2019,1,f,102
5/17/19,2019,1,,
5/26/19,2019,1,m,135
5/27/19,2019,1,m,107
5/27/19,2019,1,f,110
5/27/19,2019,1,f,125
5/27/19,2019,1,m,130
5/27/19,2019,1,f,142
5/27/19,2019,0,,
5/27/19,2019,0,f,96
5/27/19,2019,0,m,88
5/27/19,2019,0,,
5/28/19,2019,0,,
5/28/19,2019,1,f,105
5/28/19,2019,1,m,108
5/28/19,2019,0,,
5/28/19,2019,1,f,110
5/28/19,2019,1,f,110
5/28/19,2019,0,,90
5/28/19,2019,0,,
5/23/19,2019,1,f,120
5/28/19,2019,1,m,150
6/2/19,2019,1,m,135
5/26/19,2019,1,m,110
6/2/19,2019,1,f,105
6/2/19,2019,1,f,130
6/2/19,2019,1,f,125
6/2/19,2019,1,m,130
6/2/19,2019,1,f,130
6/2/19,2019,1,f,120
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/6/19,2019,0,,
6/7/19,2019,1,,
6/6/19,2019,1,,
6/6/19,2019,0,,
6/6/19,2019,0,,
6/6/19,2019,1,,
6/5/19,2019,1,,
6/5/19,2019,1,,
6/5/19,2019,0,,
6/4/19,2019,1,,
6/4/19,2019,0,,
6/4/19,2019,0,,
6/7/19,2019,1,,
6/5/19,2019,1,,
6/5/19,2019,0,,
6/5/19,2019,0,,
6/5/19,2019,1,,
6/7/19,2019,1,m,130
6/7/19,2019,0,,
6/7/19,2019,0,,
6/7/19,2019,0,m,88
6/7/19,2019,0,,
6/7/19,2019,0,f,92
6/7/19,2019,0,,
6/7/19,2019,0,m,94
6/7/19,2019,0,f,76
6/7/19,2019,0,,
6/7/19,2019,0,,98
6/7/19,2019,0,,
6/7/19,2019,0,,
6/7/19,2019,1,m,129
6/7/19,2019,1,f,90
6/11/19,2019,0,,
6/11/19,2019,0,,
6/11/19,2019,0,,
6/11/19,2019,0,,
6/11/19,2019,0,,
6/12/19,2019,1,m,135
6/12/19,2019,1,f,140
6/12/19,2019,1,f,100
6/12/19,2019,1,f,130
6/11/19,2019,0,,
6/11/19,2019,0,,
6/11/19,2019,0,,
7/6/19,2019,0,f,108
8/9/19,2019,0,m,165
8/9/19,2019,0,m,160
8/26/19,2019,1,m,127
8/27/19,2019,0,m,
8/28/19,2019,1,m,130
8/28/19,2019,1,m,150
8/28/19,2019,1,m,140
8/29/19,2019,1,m,120
8/30/19,2019,1,f,120
8/31/19,2019,1,f,120
9/1/19,2019,1,m,150
9/3/19,2019,1,f,122
9/4/19,2019,1,m,95
9/4/19,2019,1,m,140
9/4/19,2019,1,m,90
9/7/19,2019,1,m,140
9/7/19,2019,1,m,138
9/7/19,2019,1,,138
9/7/19,2019,1,,120
9/7/19,2019,1,m,125
9/8/19,2019,1,f,130
9/9/19,2019,1,m,130
8/22/19,2019,0,,
8/22/19,2019,0,,
9/5/19,2019,0,,
9/5/19,2019,1,,
