accnr,year,month,date,source,sex,age,body_length,gravid,CA,placental_scar
A2003/05134,2003,10,NA,bycaught,m,0,103,NA,NA,NA
A2014/05193,2013,4,2013-04-22,hunted,m,11,NA,NA,NA,NA
A2004/05018,2003,12,NA,bycaught,f,0,98,FALSE,FALSE,FALSE
A2004/05265,2004,7,2004-07-09,bycaught,f,0,96,NA,NA,NA
A2004/05292,2003,8,2003-08-22,hunted,m,0,98,NA,NA,NA
A2005/05093,2004,12,2004-12-22,bycaught,f,0,93,FALSE,FALSE,FALSE
A2005/05270,2005,NA,NA,bycaught,m,0,100,NA,NA,NA
A2006/05390,2006,NA,2006-10-11,bycaught,f,0,94.5,NA,NA,NA
A2006/05406,2006,NA,2006-10-25,bycaught,m,0,102.5,NA,NA,NA
A2007/05299,2007,9,2007-09-20,bycaught,f,9,123.5,FALSE,FALSE,NA
A2006/05441,2006,NA,2006-12-13,bycaught,m,NA,109,NA,NA,NA
A2011/05435,2011,9,2011-09-26,bycaught,m,4,116.5,NA,NA,NA
A2007/05209,2007,NA,NA,bycaught,f,0,81,NA,NA,NA
A2007/05223,2007,6,2007-06-26,NA,m,48,134,NA,NA,NA
A2012/05721,2012,9,2012-09-09,bycaught,m,3,110.5,NA,NA,NA
A2007/05255,2007,8,2007-08-20,bycaught,m,0,100.5,NA,NA,NA
A2015/05647,2015,10,2015-10-09,NA,f,2,116,FALSE,FALSE,FALSE
A2015/05648,2015,10,2015-10-10,NA,m,1,111,NA,NA,NA
A2015/05649,2015,8,2015-08-13,hunted,f,6,121,TRUE,TRUE,NA
A2015/05650,2015,6,2015-06-22,hunted,f,8,134,FALSE,TRUE,TRUE
A2015/05653,2015,6,2015-06-22,hunted,f,2,114.5,FALSE,FALSE,FALSE
A2015/05656,2015,9,2015-09-20,hunted,f,3,121,FALSE,FALSE,FALSE
A2016/05296,2015,8,2015-08-28,bycaught,f,1,106.5,FALSE,FALSE,FALSE
A2017/05706,2016,12,2016-12-20,hunted,m,17,110,NA,NA,NA
A2018/05271,2015,6,2015-06-08,hunted,m,1,95,NA,NA,NA
A2018/05585,2015,5,2015-05-25,hunted,f,3,113.5,FALSE,FALSE,FALSE
A2018/05586,2015,6,2015-06-09,hunted,m,5,123,NA,NA,NA
A2018/05688,2015,5,2015-05-25,hunted,f,2,74,NA,FALSE,FALSE
A2018/05689,2015,5,2015-05-25,hunted,f,4,109,NA,TRUE,NA
A2018/05701,2015,6,2015-06-08,hunted,m,1,100,NA,NA,NA
A2020/05555,2019,5,2019-05-14,hunted,f,3,120,NA,NA,NA
A2008/05113,2007,5,2007-05-11,bycaught,m,0,78,NA,NA,NA
A2008/05189,2008,5,2008-05-13,bycaught,f,0,76.5,FALSE,FALSE,FALSE
A2008/05192,2008,5,2008-05-25,bycaught,m,0,85.5,NA,NA,NA
A2008/05197,2008,6,2008-06-04,bycaught,m,0,90.5,NA,NA,NA
A2008/05198,2008,5,NA,bycaught,f,0,71.5,FALSE,FALSE,FALSE
A2008/05199,2008,5,NA,bycaught,m,0,71.5,NA,NA,NA
A2008/05219,2008,6,2008-06-30,bycaught,m,0,87,NA,NA,NA
A2008/05297,2008,5,2008-05-28,hunted,m,0,100,NA,NA,NA
A2008/05326,2008,5,2008-05-28,hunted,m,0,88.5,NA,NA,NA
A2008/05394,2008,5,2008-05-20,bycaught,f,0,76.5,NA,FALSE,FALSE
A2008/05395,2008,6,2008-06-02,bycaught,m,0,81,NA,NA,NA
A2008/05403,2008,5,2008-05-15,bycaught,m,0,77,NA,NA,NA
A2008/05404,2008,5,2008-05-25,bycaught,m,0,84.5,NA,NA,NA
A2007/05297,2007,9,2007-09-18,NA,f,4,130.5,TRUE,FALSE,NA
A2008/05191,2008,1,2008-01-01,hunted,m,3,133,NA,NA,NA
A2008/05429,2008,8,2008-08-02,bycaught,f,0,98.5,FALSE,FALSE,FALSE
A2008/05193,2008,1,2008-01-01,hunted,m,7,132.5,NA,NA,NA
A2008/05298,2008,6,2008-06-03,hunted,f,1,105,FALSE,FALSE,FALSE
A2008/05299,2008,5,2008-05-23,hunted,m,12,126.5,NA,NA,NA
A2008/05300,2008,5,2008-05-16,hunted,f,1,111,FALSE,FALSE,FALSE
A2008/05305,2008,6,2008-06-01,hunted,f,4,117,FALSE,NA,NA
A2008/05312,2008,5,2008-05-22,hunted,f,12,121.5,FALSE,TRUE,TRUE
A2008/05323,2008,5,2008-05-23,hunted,m,7,119,NA,NA,NA
A2008/05325,2008,6,2008-06-05,hunted,f,1,110,FALSE,FALSE,FALSE
A2008/05327,2008,5,2008-05-30,hunted,m,20,139,NA,NA,NA
A2008/05328,2008,6,2008-06-05,hunted,m,7,132.5,NA,NA,NA
A2008/05330,2008,5,2008-05-28,hunted,f,13,126.5,FALSE,TRUE,TRUE
A2008/05333,2008,6,2008-06-07,hunted,f,1,100,FALSE,FALSE,FALSE
A2008/05334,2008,6,2008-06-03,hunted,m,1,96,NA,NA,NA
A2008/05336,2008,5,2008-05-29,hunted,f,5,131,FALSE,TRUE,TRUE
A2008/05347,2008,5,2008-05-29,hunted,f,7,131,FALSE,TRUE,TRUE
A2008/05355,2008,5,2008-05-28,hunted,m,3,128,NA,NA,NA
A2008/05376,2008,5,2008-05-28,hunted,f,2,120.5,FALSE,FALSE,FALSE
A2009/05053,2008,10,2008-10-01,hunted,f,0,92,FALSE,FALSE,FALSE
A2008/05377,2008,5,2008-05-30,hunted,m,14,147.5,NA,NA,NA
A2008/05424,2008,5,2008-05-28,hunted,f,6,127,FALSE,TRUE,TRUE
A2009/05003,2008,5,2008-05-22,hunted,f,1,104.5,FALSE,FALSE,FALSE
A2009/05004,2008,5,2008-05-30,hunted,m,1,104,NA,NA,NA
A2009/05009,2008,5,2008-05-28,hunted,m,2,108.5,NA,NA,NA
A2009/05017,2008,5,2008-05-28,hunted,f,3,105,FALSE,FALSE,FALSE
A2009/05023,2008,6,2008-06-07,hunted,f,1,106.5,FALSE,FALSE,FALSE
A2009/05026,2008,6,2008-06-04,hunted,f,1,108,FALSE,FALSE,FALSE
A2009/05046,2008,6,2008-06-22,hunted,m,1,108.5,NA,NA,NA
A2009/05052,2008,6,2008-06-16,hunted,m,3,113,NA,NA,NA
A2010/05071,2009,6,NA,bycaught,m,0,86,NA,NA,NA
A2010/05075,2009,9,2009-09-22,bycaught,m,0,91.5,NA,NA,NA
A2011/05455,2011,10,2011-10-10,bycaught,f,8,140.5,TRUE,TRUE,NA
A2011/05538,2011,10,2011-10-18,bycaught,f,2,117,FALSE,FALSE,FALSE
A2012/05061,2011,12,2011-12-02,NA,f,17,125,FALSE,NA,NA
A2012/05062,2011,12,2011-12-02,NA,m,3,142,NA,NA,NA
A2012/05912,2012,.5-6,NA,bycaught,f,1,99.6,FALSE,FALSE,FALSE
A2013/05156,2012,5,2012-05-25,bycaught,f,1,105,NA,NA,NA
A2010/05261,2009,4,2009-04-24,bycaught,f,0,82,FALSE,FALSE,FALSE
A2013/05510,2012,11,2012-11-05,hunted,f,7,122,TRUE,FALSE,NA
A2013/05565,2012,10,2012-10-20,bycaught,f,2,109,NA,FALSE,FALSE
A2014/05105,2016,NA,NA,NA,m,23,137,NA,NA,NA
A2010/05393,2010,8,2010-08-17,bycaught,m,0,97.5,NA,NA,NA
A2014/05212,2012,10,2012-10-26,hunted,f,12,124,TRUE,TRUE,NA
A2010/05445,2010,9,2010-09-02,bycaught,f,0,101.5,FALSE,FALSE,FALSE
A2014/05227,2012,11,NA,hunted,m,1,117,NA,NA,NA
A2014/05228,2012,11,NA,hunted,m,2,108.5,NA,NA,NA
A2010/05476,2010,10,2010-10-18,bycaught,f,0,103,FALSE,FALSE,FALSE
A2010/05477,2010,10,2010-10-19,bycaught,f,0,98,FALSE,FALSE,FALSE
A2014/05650,2014,11,2014-11-03,hunted,f,23,125,NA,TRUE,NA
A2014/05652,2014,11,2014-11-03,hunted,m,4,125,NA,NA,NA
A2014/05703,2013,11,2013-11-02,hunted,m,12,132.5,NA,NA,NA
A2015/05320,2014,10,2014-10-17,bycaught,m,1,110,NA,NA,NA
A2015/05559,2015,6,2015-06-22,hunted,f,1,106.5,FALSE,FALSE,FALSE
A2015/05590,2015,6,2015-05-06,bycaught,m,1,100.5,NA,NA,NA
A2015/05625,2015,NA,NA,hunted,m,24,126.5,NA,NA,NA
A2016/05056,2015,12,2015-12-09,hunted,m,17,150,NA,NA,NA
A2016/05126,2015,6,2015-06-25,bycaught,f,20,132,FALSE,TRUE,TRUE
A2017/05580,2015,8,2015-08-16,hunted,f,2,96,NA,FALSE,FALSE
A2017/05634,2015,9,2015-09-10,hunted,m,3,140,NA,NA,NA
A2017/05705,2016,5,2016-05-04,hunted,m,2,122,NA,NA,NA
A2017/05707,2016,5,2016-05-08,hunted,m,1,117,NA,NA,NA
A2017/05708,2016,5,2016-05-08,hunted,m,17,135,NA,NA,NA
A2017/05709,2016,5,2016-05-08,hunted,m,17,128,NA,NA,NA
A2017/05710,2016,5,2016-05-09,hunted,m,8,129,NA,NA,NA
A2017/05711,2016,5,2016-05-09,hunted,m,13,140,NA,NA,NA
A2017/05712,2016,6,2016-06-02,hunted,m,12,142,NA,NA,NA
A2017/05714,2016,5,2016-05-20,hunted,f,9,116,FALSE,NA,NA
A2017/05715,2016,5,2016-05-24,hunted,f,21,122,FALSE,TRUE,NA
A2017/05716,2016,5,NA,hunted,m,6,120,NA,NA,NA
A2017/05717,2016,5,2016-05-07,hunted,f,13,102,FALSE,NA,NA
A2017/05718,2016,5,2016-05-11,hunted,m,10,160,NA,NA,NA
A2017/05720,2015,9,2015-09-07,hunted,f,11,117,NA,TRUE,TRUE
A2017/05787,2016,5,2016-05-07,hunted,m,21,130,NA,NA,NA
