"year","month","age","CA","placental_scar","pregnant"
2007,9,4,0,NA,1
2007,9,9,0,NA,0
2008,6,4,NA,NA,0
2008,5,12,1,1,0
2008,5,13,1,1,0
2008,5,5,1,1,0
2008,5,7,1,1,0
2008,5,6,1,1,0
2011,10,8,1,NA,1
2011,12,17,NA,NA,0
2012,11,7,0,NA,1
2013,11,11,0,NA,0
2013,11,12,NA,NA,1
2012,10,12,1,NA,1
2014,11,23,1,NA,NA
2015,8,6,1,NA,1
2015,6,8,1,1,0
2015,6,20,1,1,0
2016,5,9,NA,NA,0
2016,5,21,1,NA,0
2016,5,13,NA,NA,0
2015,9,11,1,1,NA
2018,6,17,1,NA,NA
2018,6,5,1,NA,0
2015,6,11,NA,1,NA
2015,6,13,NA,1,NA
2017,10,17,NA,NA,0
2015,11,10,NA,NA,1
2017,8,9,1,NA,1
2017,10,11,NA,NA,1
2017,10,17,NA,NA,1
2017,10,12,NA,1,1
2018,6,32,NA,1,NA
2017,10,18,1,NA,1
2017,10,14,1,NA,1
2017,11,7,1,NA,1
2017,10,11,NA,NA,0
2016,8,8,0,NA,1
2018,5,26,1,NA,NA
2015,5,4,1,NA,NA
2019,6,9,0,0,NA
2019,6,8,1,1,NA
2018,10,10,NA,NA,1
2018,10,7,1,NA,1
2018,10,5,1,NA,1
2018,10,7,0,NA,1
2019,9,9,1,NA,0
2018,11,5,0,NA,1
2018,10,4,0,0,1
2019,6,7,0,0,NA
2019,6,12,1,0,NA
2019,6,8,NA,0,NA
2019,6,14,1,1,NA
2018,11,7,0,1,0
2020,9,23,1,0,0
2020,9,10,0,0,1
2020,9,17,0,0,1
2020,9,15,1,0,1
2020,9,16,0,0,0
2020,9,13,1,0,1
2020,12,20,1,NA,0
2020,10,9,0,0,1
2020,9,10,1,0,1
2020,9,8,0,0,1
2020,9,13,0,0,1
2020,10,14,0,0,0
2020,10,10,0,0,1
2020,10,7,0,0,1
2020,9,21,0,0,0
2020,9,13,0,0,0
2020,5,11,1,NA,NA
2020,5,5,0,0,NA
2020,5,9,0,1,NA
2020,9,10,0,0,1
2020,9,8,1,0,1
2019,10,6,1,0,1
2020,5,7,1,0,NA
2020,5,7,1,0,NA
2020,5,10,0,0,NA
2020,5,15,0,0,NA
2020,5,5,0,0,NA
2020,5,4,1,0,NA
2020,5,17,0,0,NA
2020,5,6,1,0,NA
2020,5,10,0,0,NA
2019,9,5,1,1,1
2019,10,10,1,0,1
2020,5,9,1,1,0
2019,8,15,1,1,1
2019,8,7,1,0,1
2019,8,5,0,0,1
2019,9,9,0,0,1
2019,8,9,1,1,1
2019,9,6,0,0,1
2021,9,7,0,0,1
2021,9,11,0,0,1
2021,9,6,0,0,1
2021,10,9,0,0,1
2021,9,21,0,0,1
2021,9,16,0,0,1
2021,10,12,0,0,1
2021,9,8,0,0,1
2021,5,8,1,0,0
2021,10,4,0,0,1
2021,9,25,0,0,1
2021,10,9,0,0,1
2021,10,12,0,0,1
2021,5,10,1,1,0
2021,5,8,1,1,0
2021,5,5,1,0,0
2021,5,10,1,1,0
2021,5,9,1,1,0
2021,5,13,1,0,0
2021,5,7,1,1,0
2021,5,6,1,1,0
2021,5,16,0,0,0
2021,5,11,1,1,0
2021,5,9,1,1,0
2021,5,7,NA,NA,0
2021,5,5,NA,1,0
2021,5,8,1,0,0
2021,10,7,0,0,1
2021,10,14,0,0,1
2021,10,8,0,0,1
2021,9,9,0,0,0
2021,5,4,0,0,NA
2021,5,15,1,1,NA
2021,5,7,1,1,NA
2021,5,11,1,1,NA
2021,5,9,1,1,0
2019,5,4,0,0,0
2019,5,9,0,0,0
2020,5,31,1,0,0
2022,5,6,1,0,0
2019,5,6,0,NA,0
2022,5,14,1,1,0
2008,5,12,1,1,0
2008,10,27,1,1,1
2008,5,4,1,1,0
2008,5,4,0,0,0
2009,10,10,1,NA,1
