"year","month","day","source","sex","age","body_length","CA","placental_scar"
1985,7,17,6,"f",19,NA,NA,NA
1985,9,11,4,"m",0,NA,NA,NA
1986,5,18,6,"f",0,NA,NA,NA
1986,6,17,4,"f",0,NA,NA,NA
1988,1,6,4,"m",1,NA,NA,NA
1988,10,11,6,"f",20,NA,NA,NA
1990,11,17,4,"m",0,NA,NA,NA
1990,8,5,4,"m",0,NA,NA,NA
1990,NA,NA,4,"f",0,NA,NA,NA
1991,NA,NA,4,"f",0,NA,NA,NA
1991,7,24,4,"f",5,NA,NA,NA
1991,NA,NA,4,"m",0,NA,NA,NA
1990,NA,NA,4,"m",0,NA,NA,NA
1990,10,22,4,"m",0,NA,NA,NA
1991,NA,NA,NA,"m",33,NA,NA,NA
1991,6,10,4,"m",0,NA,NA,NA
1991,12,7,4,"m",0,NA,NA,NA
1992,4,25,4,"f",0,NA,NA,NA
1992,4,30,6,"f",0,NA,NA,NA
1992,5,12,4,"m",0,NA,NA,NA
1992,5,20,4,"m",0,NA,NA,NA
1992,6,20,6,"m",6,NA,NA,NA
1993,5,21,4,"m",0,NA,NA,NA
1993,6,20,6,"f",0,NA,NA,NA
1994,10,22,4,"f",0,NA,NA,NA
1994,NA,NA,4,NA,0,NA,NA,NA
1996,11,3,4,"m",28,NA,NA,NA
1997,12,9,6,"f",0,NA,NA,NA
1998,10,16,6,"f",30,NA,NA,NA
1981,NA,NA,1,NA,NA,NA,NA,NA
1981,NA,NA,1,"f",NA,NA,NA,NA
1981,NA,NA,1,"m",19,NA,NA,NA
1982,NA,NA,1,"m",12,NA,NA,NA
1982,NA,NA,1,"f",12,NA,NA,NA
1982,NA,NA,1,"f",9,NA,NA,NA
1982,NA,NA,1,"m",18,NA,NA,NA
1982,NA,NA,1,NA,NA,NA,NA,NA
1982,NA,NA,1,"m",5,NA,NA,NA
1982,NA,NA,1,"m",24,NA,NA,NA
1983,NA,NA,1,"m",2,NA,NA,NA
1983,NA,NA,1,"m",7,NA,NA,NA
1983,NA,NA,1,"m",0,NA,NA,NA
1983,NA,NA,1,"f",3,NA,NA,NA
1983,NA,NA,1,"m",11,NA,NA,NA
