"year","month","date","source","sex","age","body_length","pregnant","CA","placental_scar"
2002,4,"2002-04-29","bycaught","f",2,116,NA,NA,NA
2002,9,"2002-09-24","bycaught","m",1,107.7,NA,NA,NA
2003,10,NA,"bycaught","m",0,103,NA,NA,NA
2003,12,NA,"bycaught","f",0,98,0,0,0
2004,7,"2004-07-09","bycaught","f",0,96,NA,NA,NA
2003,8,"2003-08-22","hunted","m",0,98,NA,NA,NA
2004,12,"2004-12-22","bycaught","f",0,93,0,0,0
2005,NA,NA,"bycaught","m",0,100,NA,NA,NA
2006,NA,"2006-10-11","bycaught","f",0,94.5,NA,NA,NA
2006,NA,"2006-10-25","bycaught","m",0,102.5,NA,NA,NA
2006,NA,"2006-12-13","bycaught","m",NA,109,NA,NA,NA
2007,NA,NA,"bycaught","f",0,81,NA,NA,NA
2007,6,"2007-06-26",NA,"m",48,134,NA,NA,NA
2007,8,"2007-08-20","bycaught","m",0,100.5,NA,NA,NA
2007,9,"2007-09-18",NA,"f",4,130.5,1,0,NA
2007,7,"2007-07-05","bycaught","f",2,108.5,0,NA,NA
2007,9,"2007-09-20","bycaught","f",9,123.5,0,0,NA
2007,10,"2007-10-02","bycaught","m",1,105.5,NA,NA,NA
2007,11,"2007-11-05","bycaught","f",1,113,0,0,0
2007,5,"2007-05-11","bycaught","m",0,78,NA,NA,NA
2008,5,"2008-05-13","bycaught","f",0,76.5,0,0,0
2008,1,"2008-01-01","hunted","m",3,133,NA,NA,NA
2008,5,"2008-05-25","bycaught","m",0,85.5,NA,NA,NA
2008,1,"2008-01-01","hunted","m",7,132.5,NA,NA,NA
2008,6,"2008-06-04","bycaught","m",0,90.5,NA,NA,NA
2008,5,NA,"bycaught","f",0,71.5,0,0,0
2008,5,NA,"bycaught","m",0,71.5,NA,NA,NA
2008,6,"2008-06-30","bycaught","m",0,87,NA,NA,NA
2008,5,"2008-05-28","hunted","m",0,100,NA,NA,NA
2008,6,"2008-06-03","hunted","f",1,105,0,0,0
2008,5,"2008-05-23","hunted","m",12,126.5,NA,NA,NA
2008,5,"2008-05-16","hunted","f",1,111,0,0,0
2008,6,"2008-06-01","hunted","f",4,117,0,NA,NA
2008,5,"2008-05-22","hunted","f",12,121.5,0,1,1
2008,5,"2008-05-23","hunted","m",7,119,NA,NA,NA
2008,6,"2008-06-05","hunted","f",1,110,0,0,0
2008,5,"2008-05-28","hunted","m",0,88.5,NA,NA,NA
2008,5,"2008-05-30","hunted","m",20,139,NA,NA,NA
2008,6,"2008-06-05","hunted","m",7,132.5,NA,NA,NA
2008,5,"2008-05-28","hunted","f",13,126.5,0,1,1
2008,6,"2008-06-07","hunted","f",1,100,0,0,0
2008,6,"2008-06-03","hunted","m",1,96,NA,NA,NA
2008,5,"2008-05-29","hunted","f",5,131,0,1,1
2008,5,"2008-05-29","hunted","f",7,131,0,1,1
2008,5,"2008-05-28","hunted","m",3,128,NA,NA,NA
2008,5,"2008-05-28","hunted","f",2,120.5,0,0,0
2008,5,"2008-05-30","hunted","m",14,147.5,NA,NA,NA
2008,5,"2008-05-20","bycaught","f",0,76.5,NA,0,0
